Question_number;Question;NumCorrect;Answer1;Answer2;Answer3;Answer4;Answer5;Answer6;Correct;Explanation
84;After migrating ETL jobs to run on BigQuery, you need to verify that the output of the migrated jobs is the same as the output of the original. You've loaded a table containing the output of the original job and want to compare the contents with output from the migrated job to show that they are identical. The tables do not contain a primary key column that would enable you to join them together for comparison. What should you do?;1;Select random samples from the tables using the RAND() function and compare the samples.;Select random samples from the tables using the HASH() function and compare the samples.;Use a Dataproc cluster and the BigQuery Hadoop connector to read the data from each table and calculate a hash from non-timestamp columns of the table after sorting. Compare the hashes of each table.;Create stratified random samples using the OVER() function and compare equivalent samples from each table.;;;Use a Dataproc cluster and the BigQuery Hadoop connector to read the data from each table and calculate a hash from non-timestamp columns of the table after sorting. Compare the hashes of each table.;Because the tables do not contain a primary key column that would enable you to join them together for comparison, you need a different method to ensure the two datasets are identical. By using a Dataproc cluster and the BigQuery Hadoop connector, you can read the data from each table, calculate a hash from non-timestamp columns of the table after sorting, and then compare the hashes of each table. If the hashes match, the contents of the tables are the same.
85;You are a head of BI at a large enterprise company with multiple business units that each have different priorities and budgets. You use on-demand pricing for BigQuery with a quota of 2K concurrent on-demand slots per project. Users at your organization sometimes don't get slots to execute their query and you need to correct this. You'd like to avoid introducing new projects to your account. What should you do?;1;Convert your batch BQ queries into interactive BQ queries.;Create an additional project to overcome the 2K on-demand per-project quota.;Switch to flat-rate pricing and establish a hierarchical priority model for your projects.;Increase the amount of concurrent slots per project at the Quotas page at the Cloud Console.;;;Switch to flat-rate pricing and establish a hierarchical priority model for your projects.;When using on-demand pricing, you pay for the amount of data processed by each query. However, BigQuery enforces a concurrent rate limit and a daily limit on the amount of query data, which may restrict the resources for executing queries. Switching to flat-rate pricing allows you to run a virtually unlimited number of queries while only paying for the resources reserved for your project, not by the amount of data processed by each query. The introduction of a hierarchical priority model will ensure that the available resources are allocated according to the priorities of different projects, reducing the chance that users won't get slots to execute their query
86;You have an Apache Kafka cluster on-prem with topics containing web application logs. You need to replicate the data to Google Cloud for analysis in BigQuery and Cloud Storage. The preferred replication method is mirroring to avoid deployment of Kafka Connect plugins. What should you do?;1;Deploy a Kafka cluster on GCE VM Instances. Configure your on-prem cluster to mirror your topics to the cluster running in GCE. Use a Dataproc cluster or Dataflow job to read from Kafka and write to GCS.;Deploy a Kafka cluster on GCE VM Instances with the Pub/Sub Kafka connector configured as a Sink connector. Use a Dataproc cluster or Dataflow job to read from Kafka and write to GCS.;Deploy the Pub/Sub Kafka connector to your on-prem Kafka cluster and configure Pub/Sub as a Source connector. Use a Dataflow job to read from Pub/Sub and write to GCS.;Deploy the Pub/Sub Kafka connector to your on-prem Kafka cluster and configure Pub/Sub as a Sink connector. Use a Dataflow job to read from Pub/Sub and write to GCS.;;;Deploy a Kafka cluster on GCE VM Instances. Configure your on-prem cluster to mirror your topics to the cluster running in GCE. Use a Dataproc cluster or Dataflow job to read from Kafka and write to GCS.;This approach avoids the use of Kafka Connect plugins (as per the requirement). The on-premises Kafka cluster is mirrored to a Kafka cluster running on Google Compute Engine (GCE) VM instances. Data can then be read from this GCE Kafka cluster using either a Dataproc cluster or a Dataflow job, and then written to Google Cloud Storage (GCS) for analysis in BigQuery.
87;You've migrated a Hadoop job from an on-prem cluster to dataproc and GCS. Your Spark job is a complicated analytical workload that consists of many shuffling operations and initial data are parquet files (on average 200-400 MB size each). You see some degradation in performance after the migration to Dataproc, so you'd like to optimize for it. You need to keep in mind that your organization is very cost-sensitive, so you'd like to continue using Dataproc on preemptibles (with 2 non-preemptible workers only) for this workload. What should you do?;1;Increase the size of your parquet files to ensure them to be 1 GB minimum.;Switch to TFRecords formats (appr. 200MB per file) instead of parquet files.;Switch from HDDs to SSDs, copy initial data from GCS to HDFS, run the Spark job and copy results back to GCS.;Switch from HDDs to SSDs, override the preemptible VMs configuration to increase the boot disk size.;;;Switch from HDDs to SSDs, override the preemptible VMs configuration to increase the boot disk size.;Since the workload involves many shuffle operations, it is important to ensure that the disk performance is optimized. SSDs offer faster read and write speeds compared to HDDs, which can help to improve the performance of shuffle operations. Moreover, increasing the boot disk size can help to provide more space for the local storage of shuffle data, thus reducing the risk of running out of disk space during shuffle operations. This can be especially helpful when using preemptible VMs, which often have lower resources than standard VMs.
88;Your team is responsible for developing and maintaining ETLs in your company. One of your Dataflow jobs is failing because of some errors in the input data, and you need to improve reliability of the pipeline (incl. being able to reprocess all failing data). What should you do?;1;Add a filtering step to skip these types of errors in the future, extract erroneous rows from logs.;Add a tryג€¦ catch block to your DoFn that transforms the data, extract erroneous rows from logs.;Add a tryג€¦ catch block to your DoFn that transforms the data, write erroneous rows to Pub/Sub PubSub directly from the DoFn.;Add a tryג€¦ catch block to your DoFn that transforms the data, use a sideOutput to create a PCollection that can be stored to Pub/Sub later.;;;Add a tryג€¦ catch block to your DoFn that transforms the data, use a sideOutput to create a PCollection that can be stored to Pub/Sub later.;In Apache Beam (and hence in Dataflow), side outputs can be used to output to multiple PCollections from a single PTransform. This approach allows you to handle errors in a fine-grained way without stopping your entire pipeline. You can use side outputs to capture the error records and store them separately for future processing. In this case, you can add a try-catch block to handle errors, and use a sideOutput to capture erroneous records. These records can be written to Pub/Sub later for reprocessing or analysis.
89;You're training a model to predict housing prices based on an available dataset with real estate properties. Your plan is to train a fully connected neural net, and you've discovered that the dataset contains latitude and longitude of the property. Real estate professionals have told you that the location of the property is highly influential on price, so you'd like to engineer a feature that incorporates this physical dependency. What should you do?;1;Provide latitude and longitude as input vectors to your neural net.;Create a numeric column from a feature cross of latitude and longitude.;Create a feature cross of latitude and longitude, bucketize it at the minute level and use L1 regularization during optimization.;Create a feature cross of latitude and longitude, bucketize it at the minute level and use L2 regularization during optimization.;;;Create a numeric column from a feature cross of latitude and longitude.;Creating a feature cross of two or more features can capture more complex relationships in the data. This is especially true for geographical data, where the interaction of latitude and longitude can represent a specific location on earth. You can create a numeric column from this feature cross to feed into your neural network. While L1 and L2 regularization can help prevent overfitting, they are not directly related to the task of creating and using a feature cross of latitude and longitude.<br>While L1 and L2 regularization can help prevent overfitting, they are not directly related to the task of creating and using a feature cross of latitude and longitude.
90;You are deploying MariaDB SQL databases on GCE VM Instances and need to configure monitoring and alerting. You want to collect metrics including network connections, disk IO and replication status from MariaDB with minimal development effort and use StackDriver for dashboards and alerts. What should you do?;1;Install the OpenCensus Agent and create a custom metric collection application with a StackDriver exporter.;Place the MariaDB instances in an Instance Group with a Health Check.;Install the StackDriver Logging Agent and configure fluentd in_tail plugin to read MariaDB logs.;Install the StackDriver Agent and configure the MySQL plugin.;;;Install the StackDriver Agent and configure the MySQL plugin.;Stackdriver Agent supports the collection of system and application metrics from your VM instances. For databases like MariaDB and MySQL, it has a built-in MySQL plugin, which can be used to collect and send various metrics to Stackdriver, like disk IO, network connections, and replication status. This solution requires minimal development effort and can be easily integrated with Stackdriver for monitoring, alerting, and dashboards.
91;You work for a bank. You have a labelled dataset that contains information on already granted loan application and whether these applications have been defaulted. You have been asked to train a model to predict default rates for credit applicants. What should you do?;1;Increase the size of the dataset by collecting additional data.;Train a linear regression to predict a credit default risk score.;Remove the bias from the data and collect applications that have been declined loans.;Match loan applicants with their social profiles to enable feature engineering.;;;Train a linear regression to predict a credit default risk score.;In this context, we already have a labeled dataset that marks whether loan applications defaulted. This is a classic use case for supervised learning where we have input data (loan application details) and output data (default or not). A linear regression model could be used to predict a continuous value (the credit default risk score), which can be thresholded to make a binary classification (likely to default or not).
92;You need to migrate a 2TB relational database to Google Cloud Platform. You do not have the resources to significantly refactor the application that uses this database and cost to operate is of primary concern. Which service do you select for storing and serving your data?;1;Cloud Spanner;Cloud Bigtable;Cloud Firestore;Cloud SQL;;;Cloud SQL;Cloud SQL is a fully-managed relational database service that can handle MySQL, PostgreSQL, and SQL Server. It is an ideal choice for migrating a 2TB relational database without significant refactoring, as it provides a familiar SQL interface and support for existing tools and libraries. While Cloud Spanner can also handle relational data and provide stronger consistency guarantees at global scale, it may be overkill for many applications and can be more expensive than Cloud SQL. Cloud Bigtable and Firestore are both NoSQL databases and would likely require significant application refactoring
93;You're using Bigtable for a real-time application, and you have a heavy load that is a mix of read and writes. You've recently identified an additional use case and need to perform hourly an analytical job to calculate certain statistics across the whole database. You need to ensure both the reliability of your production application as well as the analytical workload.;1;Export Bigtable dump to GCS and run your analytical job on top of the exported files.;Add a second cluster to an existing instance with a multi-cluster routing, use live-traffic app profile for your regular workload and batch-analytics profile for the analytics workload.;Add a second cluster to an existing instance with a single-cluster routing, use live-traffic app profile for your regular workload and batch-analytics profile for the analytics workload.;Increase the size of your existing cluster twice and execute your analytics workload on your new resized cluster.;;;Add a second cluster to an existing instance with a multi-cluster routing, use live-traffic app profile for your regular workload and batch-analytics profile for the analytics workload.;Adding a second cluster to the existing instance with multi-cluster routing can effectively handle the mix of real-time and analytical workload. With multi-cluster routing, you can create different application profiles (like live-traffic and batch-analytics in this case) that route data to different clusters based on your workload needs. This approach avoids overloading a single cluster with all types of workloads, ensuring better reliability and performance. The other options are less suitable or more complex for this specific scenario
94;You are designing an Apache Beam pipeline to enrich data from Cloud Pub/Sub with static reference data from BigQuery. The reference data is small enough to fit in memory on a single worker. The pipeline should write enriched results to BigQuery for analysis. Which job type and transforms should this pipeline use?;1;Batch job, PubSubIO, side-inputs;Streaming job, PubSubIO, JdbcIO, side-outputs;Streaming job, PubSubIO, BigQueryIO, side-inputs;Streaming job, PubSubIO, BigQueryIO, side-outputs;;;Streaming job, PubSubIO, BigQueryIO, side-inputs;You're ingesting data from Cloud Pub/Sub, which is a real-time messaging service, so you need a streaming job. PubSubIO is used to read data from Cloud Pub/Sub. Since the reference data from BigQuery is small enough to fit into memory on a single worker, it can be loaded into memory as a side input. Finally, you can use BigQueryIO to write the enriched data back to BigQuery for analysis. The other options are incorrect because they involve either the wrong job type or the wrong I/O operations.
95;You have a data pipeline that writes data to Cloud Bigtable using well-designed row keys. You want to monitor your pipeline to determine when to increase the size of your Cloud Bigtable cluster. Which two actions can you take to accomplish this? (Choose two.);2;Review Key Visualizer metrics. Increase the size of the Cloud Bigtable cluster when the Read pressure index is above 100.;Review Key Visualizer metrics. Increase the size of the Cloud Bigtable cluster when the Write pressure index is above 100.;Monitor the latency of write operations. Increase the size of the Cloud Bigtable cluster when there is a sustained increase in write latency.;Monitor storage utilization. Increase the size of the Cloud Bigtable cluster when utilization increases above 70% of max capacity.;Monitor latency of read operations. Increase the size of the Cloud Bigtable cluster of read operations take longer than 100 ms.;;Monitor storage utilization. Increase the size of the Cloud Bigtable cluster when utilization increases above 70% of max capacity.|Monitor the latency of write operations. Increase the size of the Cloud Bigtable cluster when there is a sustained increase in write latency.;Review Key Visualizer metrics and monitor latency of write operations. When the Write pressure index exceeds 100 or when there is a sustained increase in write latency, it could indicate that your cluster does not have enough resources to handle the workload. In such cases, increasing the size of your cluster could help.
96;You want to analyze hundreds of thousands of social media posts daily at the lowest cost and with the fewest steps. You have the following requirements:<br> <BR> You will batch-load the posts once per day and run them through the Cloud Natural Language API. <BR> You will extract topics and sentiment from the posts. <BR> You must store the raw posts for archiving and reprocessing. <BR> You will create dashboards to be shared with people both inside and outside your organization. You need to store both the data extracted from the API to perform analysis as well as the raw social media posts for historical archiving. What should you do?;1;Store the social media posts and the data extracted from the API in BigQuery.;Store the social media posts and the data extracted from the API in Cloud SQL.;Store the raw social media posts in Cloud Storage, and write the data extracted from the API into BigQuery.;Feed to social media posts into the API directly from the source, and write the extracted data from the API into BigQuery.;;;Store the raw social media posts in Cloud Storage, and write the data extracted from the API into BigQuery.;Google Cloud Storage is a cost-effective solution for storing large amounts of raw data, such as social media posts, for archiving purposes. On the other hand, BigQuery is designed for running fast, SQL-like queries against large datasets, so it's a good fit for storing the processed data that will be used for analysis. Thus, storing the raw posts in Cloud Storage and the extracted data in BigQuery will meet all the requirements, including cost-effectiveness and ease of analysis.
97;You store historic data in Cloud Storage. You need to perform analytics on the historic data. You want to use a solution to detect invalid data entries and perform data transformations that will not require programming or knowledge of SQL. What should you do?;1;Use Cloud Dataflow with Beam to detect errors and perform transformations.;Use Cloud Dataprep with recipes to detect errors and perform transformations.;Use Cloud Dataproc with a Hadoop job to detect errors and perform transformations.;Use federated tables in BigQuery with queries to detect errors and perform transformations.;;;Use Cloud Dataprep with recipes to detect errors and perform transformations.;Google Cloud Dataprep is an intelligent data service for visually exploring, cleaning, and preparing data for analysis. It is a serverless, no-code data preparation tool that is used to clean and transform data for analysis without the need for programming or SQL knowledge. It uses recipes, which are sets of steps to transform your data.
98;Your company needs to upload their historic data to Cloud Storage. The security rules don't allow access from external IPs to their on-premises resources. After an initial upload, they will add new data from existing on-premises applications every day. What should they do?;1;Execute gsutil rsync from the on-premises servers.;Use Dataflow and write the data to Cloud Storage.;Write a job template in Dataproc to perform the data transfer.;Install an FTP server on a Compute Engine VM to receive the files and move them to Cloud Storage.;;;Execute gsutil rsync from the on-premises servers.;gsutil is a Python application that lets you access Cloud Storage from the command line. The gsutil rsync command allows you to synchronize content of the source directory and the destination directory. Since this can be executed from the on-premise servers, it will not require access from external IPs to their on-premises resources.
99;"You have a query that filters a BigQuery table using a WHERE clause on timestamp and ID columns. By using bq query `""-dry_run you learn that the query triggers a full scan of the table, even though the filter on timestamp and ID select a tiny fraction of the overall data. You want to reduce the amount of data scanned by BigQuery with minimal changes to existing SQL queries. What should you do?";1;Create a separate table for each ID.;Use the LIMIT keyword to reduce the number of rows returned.;Recreate the table with a partitioning column and clustering column.;Use the bq query --maximum_bytes_billed flag to restrict the number of bytes billed.;;;Recreate the table with a partitioning column and clustering column.;In Google BigQuery, you can use partitioning and clustering to optimize the performance of your queries, as well as to control costs. Partitioning allows BigQuery to scan less data when you run queries, reducing costs and improving performance. Clustering reorganizes your data based on the contents of specific columns, which further improves query performance.
100;You have a requirement to insert minute-resolution data from 50,000 sensors into a BigQuery table. You expect significant growth in data volume and need the data to be available within 1 minute of ingestion for real-time analysis of aggregated trends. What should you do?;1;Use bq load to load a batch of sensor data every 60 seconds.;Use a Cloud Dataflow pipeline to stream data into the BigQuery table.;Use the INSERT statement to insert a batch of data every 60 seconds.;Use the MERGE statement to apply updates in batch every 60 seconds.;;;Use a Cloud Dataflow pipeline to stream data into the BigQuery table.;Cloud Dataflow is designed for processing both batch and real-time data streams, and it can support high-volume, high-velocity data. By using Cloud Dataflow, you can ensure that data will be available in BigQuery within 1 minute of ingestion, as it supports near real-time data processing.
101;You need to copy millions of sensitive patient records from a relational database to BigQuery. The total size of the database is 10 TB. You need to design a solution that is secure and time-efficient. What should you do?;1;Export the records from the database as an Avro file. Upload the file to GCS using gsutil, and then load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.;Export the records from the database as an Avro file. Copy the file onto a Transfer Appliance and send it to Google, and then load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.;Export the records from the database into a CSV file. Create a public URL for the CSV file, and then use Storage Transfer Service to move the file to Cloud Storage. Load the CSV file into BigQuery using the BigQuery web UI in the GCP Console.;Export the records from the database as an Avro file. Create a public URL for the Avro file, and then use Storage Transfer Service to move the file to Cloud Storage. Load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.;;;Export the records from the database as an Avro file. Copy the file onto a Transfer Appliance and send it to Google, and then load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.;Given the size of the database and the sensitive nature of the data, using the Google Transfer Appliance is the most secure and time-efficient method. The Transfer Appliance is a hardware appliance that you can use to securely and efficiently transfer large volumes of data (from hundreds of terabytes up to 1 petabyte) to Google Cloud. Once the data is in Google Cloud, it can be easily imported into BigQuery.
102;You need to create a near real-time inventory dashboard that reads the main inventory tables in your BigQuery data warehouse. Historical inventory data is stored as inventory balances by item and location. You have several thousand updates to inventory every hour. You want to maximize performance of the dashboard and ensure that the data is accurate. What should you do?;1;Leverage BigQuery UPDATE statements to update the inventory balances as they are changing.;Partition the inventory balance table by item to reduce the amount of data scanned with each inventory update.;Use the BigQuery streaming to stream changes into a daily inventory movement table. Calculate balances in a view that joins it to the historical inventory balance table. Update the inventory balance table nightly.;Use the BigQuery bulk loader to batch load inventory changes into a daily inventory movement table. Calculate balances in a view that joins it to the historical inventory balance table. Update the inventory balance table nightly.;;;Use the BigQuery streaming to stream changes into a daily inventory movement table. Calculate balances in a view that joins it to the historical inventory balance table. Update the inventory balance table nightly.;Streaming data into BigQuery is best for near real-time needs as it allows you to ingest and analyze data concurrently. By streaming changes into a daily inventory movement table and calculating balances in a view, you are reducing the latency between when data is ingested and when it becomes available for querying. Updating the inventory balance table nightly allows you to keep your historical data up to date without impacting the performance of your real-time dashboard.
103;You have a data stored in BigQuery. The data in the BigQuery dataset must be highly available. You need to define a storage, backup, and recovery strategy of this data that minimizes cost. How should you configure the BigQuery table that have a recovery point objective (RPO) of 30 days?;1;Set the BigQuery dataset to be regional. In the event of an emergency, use a point-in-time snapshot to recover the data.;Set the BigQuery dataset to be regional. Create a scheduled query to make copies of the data to tables suffixed with the time of the backup. In the event of an emergency, use the backup copy of the table.;Set the BigQuery dataset to be multi-regional. In the event of an emergency, use a point-in-time snapshot to recover the data.;Set the BigQuery dataset to be multi-regional. Create a scheduled query to make copies of the data to tables suffixed with the time of the backup. In the event of an emergency, use the backup copy of the table.;;;Set the BigQuery dataset to be multi-regional. In the event of an emergency, use a point-in-time snapshot to recover the data.;https://cloud.google.com/bigquery/docs/table-snapshots-intro#table_snapshots<BR> A BigQuery table snapshot preserves the contents of a table (called the base table) at a particular time. You can save a snapshot of a current table, or create a snapshot of a table as it was at any time in the past seven days. A table snapshot can have an expiration, when the configured amount of time has passed since the table snapshot was created, BigQuery deletes the table snapshot. You can query a table snapshot as you would a standard table. Table snapshots are read-only, but you can create (restore) a standard table from a table snapshot, and then you can modify the restored table.
104;You used Dataprep to create a recipe on a sample of data in a BigQuery table. You want to reuse this recipe on a daily upload of data with the same schema, after the load job with variable execution time completes. What should you do?;1;Create a cron schedule in Dataprep.;Create an App Engine cron job to schedule the execution of the Dataprep job.;Export the recipe as a Dataprep template, and create a job in Cloud Scheduler.;Export the Dataprep job as a Dataflow template, and incorporate it into a Composer job.;;;Export the Dataprep job as a Dataflow template, and incorporate it into a Composer job.;Dataprep by Trifacta,  doesn't provide a way to schedule jobs or directly integrate with Cloud Scheduler. However, it does allow users to export transformations as a Dataflow template. You can use this feature to export your Dataprep job as a Dataflow template. Then, you can use Cloud Composer, which is a managed Apache Airflow service, to schedule the execution of the Dataflow template job. This way, you can ensure that your recipe is applied to the new data on a daily basis.
105;You want to automate execution of a multi-step data pipeline running on Google Cloud. The pipeline includes Dataproc and Dataflow jobs that have multiple dependencies on each other. You want to use managed services where possible, and the pipeline will run every day. Which tool should you use?;1;cron;Cloud Composer;Cloud Scheduler;Workflow Templates on Dataproc;;;Cloud Composer;Cloud Composer is a fully managed workflow orchestration service that empowers you to author, schedule, and monitor pipelines that span across clouds and on-premises data centers. It is built on the popular open source project, Apache Airflow. You can use it to create, schedule, and manage workflows, which makes it a good fit for managing multi-step data pipelines involving Dataproc, Dataflow, and other Google Cloud services.
106;You are managing a Cloud Dataproc cluster. You need to make a job run faster while minimizing costs, without losing work in progress on your clusters. What should you do?;1;Increase the cluster size with more non-preemptible workers.;Increase the cluster size with preemptible worker nodes, and configure them to forcefully decommission.;Increase the cluster size with preemptible worker nodes, and use Cloud Stackdriver to trigger a script to preserve work.;Increase the cluster size with preemptible worker nodes, and configure them to use graceful decommissioning.;;;Increase the cluster size with preemptible worker nodes, and configure them to use graceful decommissioning.;Preemptible VMs in Google Cloud are a cost-effective choice if your applications are fault-tolerant. They can be shut down by Google Cloud at any time due to system demands, but this is where graceful decommissioning comes into play. Graceful decommissioning allows tasks running on preemptible VMs to finish before the VMs are preempted, which helps to not lose work in progress.
107;You work for a shipping company that uses handheld scanners to read shipping labels. Your company has strict data privacy standards that require scanners to only transmit tracking numbers when events are sent to Kafka topics. A recent software update caused the scanners to accidentally transmit recipients' personally identifiable information (PII) to analytics systems, which violates user privacy rules. You want to quickly build a scalable solution using cloud-native managed services to prevent exposure of PII to the analytics systems. What should you do?;1;Create an authorized view in BigQuery to restrict access to tables with sensitive data.;Install a third-party data validation tool on Compute Engine virtual machines to check the incoming data for sensitive information.;Use Cloud Logging to analyze the data passed through the total pipeline to identify transactions that may contain sensitive information.;Build a Cloud Function that reads the topics and makes a call to the Cloud Data Loss Prevention (Cloud DLP) API. Use the tagging and confidence levels to either pass or quarantine the data in a bucket for review.;;;Build a Cloud Function that reads the topics and makes a call to the Cloud Data Loss Prevention (Cloud DLP) API. Use the tagging and confidence levels to either pass or quarantine the data in a bucket for review.;Google Cloud Data Loss Prevention (Cloud DLP) API is designed to help discover, classify, and protect sensitive data. It can be effectively used in scenarios where PII might be exposed inadvertently. In this case, creating a Cloud Function to intercept the Kafka messages, process them through the Cloud DLP API, and then segregate or quarantine the sensitive data based on the API's response can help prevent PII from reaching the analytics systems.
108;You have developed three data processing jobs. One executes a Cloud Dataflow pipeline that transforms data uploaded to Cloud Storage and writes results to BigQuery. The second ingests data from on-premises servers and uploads it to Cloud Storage. The third is a Cloud Dataflow pipeline that gets information from third-party data providers and uploads the information to Cloud Storage. You need to be able to schedule and monitor the execution of these three workflows and manually execute them when needed. What should you do?;1;Create a Direct Acyclic Graph in Cloud Composer to schedule and monitor the jobs.;Use Stackdriver Monitoring and set up an alert with a Webhook notification to trigger the jobs.;Develop an App Engine application to schedule and request the status of the jobs using GCP API calls.;Set up cron jobs in a Compute Engine instance to schedule and monitor the pipelines using GCP API calls.;;;Create a Direct Acyclic Graph in Cloud Composer to schedule and monitor the jobs.;Cloud Composer is a fully managed workflow orchestration service built on Apache Airflow. It allows you to create, schedule, monitor, and control workflows as Directed Acyclic Graphs (DAGs). In this case, you can use Cloud Composer to schedule and monitor the execution of these three workflows as well as manually trigger them when needed.
109;You have Cloud Functions written in Node.js that pull messages from Cloud Pub/Sub and send the data to BigQuery. You observe that the message processing rate on the Pub/Sub topic is orders of magnitude higher than anticipated, but there is no error logged in Stackdriver Log Viewer. What are the two most likely causes of this problem? (Choose two.);2;Publisher throughput quota is too small.;Total outstanding messages exceed the 10-MB maximum.;Error handling in the subscriber code is not handling run-time errors properly.;The subscriber code cannot keep up with the messages.;The subscriber code does not acknowledge the messages that it pulls;;Error handling in the subscriber code is not handling run-time errors properly.|The subscriber code does not acknowledge the messages that it pulls;Poor error handling can lead to silent failures and unacknowledged messages can lead to their re-delivery, hence a higher message processing rate.
110;You are creating a new pipeline in Google Cloud to stream IoT data from Cloud Pub/Sub through Cloud Dataflow to BigQuery. While previewing the data, you notice that roughly 2% of the data appears to be corrupt. You need to modify the Cloud Dataflow pipeline to filter out this corrupt data. What should you do?;1;Add a SideInput that returns a Boolean if the element is corrupt.;Add a ParDo transform in Cloud Dataflow to discard corrupt elements.;Add a Partition transform in Cloud Dataflow to separate valid data from corrupt data.;Add a GroupByKey transform in Cloud Dataflow to group all of the valid data together and discard the rest.;;;Add a ParDo transform in Cloud Dataflow to discard corrupt elements.;The ParDo transform is a core element of Apache Beam, which underlies Google Cloud Dataflow. ParDo is short for 'Parallel Do'. It is used to perform parallel processing in Dataflow, and it's used for executing complex functions on every element in the input PCollection. You can use a ParDo transform in your pipeline to apply a function to each element that checks for corruption and discards corrupt elements.
111;You have historical data covering the last three years in BigQuery and a data pipeline that delivers new data to BigQuery daily. You have noticed that when the Data Science team runs a query filtered on a date column and limited to 30-90 days of data, the query scans the entire table. You also noticed that your bill is increasing more quickly than you expected. You want to resolve the issue as cost-effectively as possible while maintaining the ability to conduct SQL queries. What should you do?;1;Re-create the tables using DDL. Partition the tables by a column containing a TIMESTAMP or DATE Type.;Recommend that the Data Science team export the table to a CSV file on Cloud Storage and use Cloud Datalab to explore the data by reading the files directly.;Modify your pipeline to maintain the last 30-90 days of data in one table and the longer history in a different table to minimize full table scans over the entire history.;Write an Apache Beam pipeline that creates a BigQuery table per day. Recommend that the Data Science team use wildcards on the table name suffixes to select the data they need.;;;Re-create the tables using DDL. Partition the tables by a column containing a TIMESTAMP or DATE Type.;BigQuery supports partitioned tables which can significantly improve query performance and costs when a query filters data using the partitioned column. In this case, if the Data Science team regularly filters on a date column, partitioning the table by this column could drastically reduce the amount of data scanned, thus reducing costs and improving query performance.
112;You operate a logistics company, and you want to improve event delivery reliability for vehicle-based sensors. You operate small data centers around the world to capture these events, but leased lines that provide connectivity from your event collection infrastructure to your event processing infrastructure are unreliable, with unpredictable latency. You want to address this issue in the most cost-effective way. What should you do?;1;Deploy small Kafka clusters in your data centers to buffer events.;Have the data acquisition devices publish data to Cloud Pub/Sub.;Establish a Cloud Interconnect between all remote data centers and Google.;Write a Cloud Dataflow pipeline that aggregates all data in session windows.;;;Have the data acquisition devices publish data to Cloud Pub/Sub.;Google Cloud Pub/Sub provides a simple, reliable, scalable foundation for event-driven computing systems. By integrating applications with Pub/Sub, they can independently send and receive messages to and from topics and use subscription(s) to consume those messages. This service can be a good fit to publish data reliably from vehicle-based sensors even when connectivity is unreliable or latency is unpredictable. This is also cost-effective as you pay for what you use and it removes the necessity of managing your own Kafka clusters or establishing a Cloud Interconnect.
113;You are a retailer that wants to integrate your online sales capabilities with different in-home assistants, such as Google Home. You need to interpret customer voice commands and issue an order to the backend systems. Which solutions should you choose?;1;Speech-to-Text API;Cloud Natural Language API;Dialogflow Enterprise Edition;AutoML Natural Language;;;Dialogflow Enterprise Edition;Dialogflow Enterprise Edition is Google's human-computer interaction technology based on natural language conversations. It is the right tool for building voice and text-based conversational applications that can be integrated with many popular conversational platforms including Google Assistant (which powers Google Home). It not only provides speech recognition capabilities (which makes Speech-to-Text API redundant in this scenario), but also excels in intent recognition and conversational context management which is essential to understand customer's voice commands and respond appropriately.
114;Your company has a hybrid cloud initiative. You have a complex data pipeline that moves data between cloud provider services and leverages services from each of the cloud providers. Which cloud-native service should you use to orchestrate the entire pipeline?;1;Cloud Dataflow;Cloud Composer;Cloud Dataprep;Cloud Dataproc;;;Cloud Composer;Cloud Composer is a fully managed workflow orchestration service built on Apache Airflow that is ideal for creating, scheduling, monitoring, and managing multi-cloud and hybrid data pipelines. It is designed to be flexible and portable, meaning workflows can be developed and tested on any Apache Airflow environment and then deployed to Cloud Composer. It is integrated with a wide array of Google Cloud and third-party services.
115;You use a dataset in BigQuery for analysis. You want to provide third-party companies with access to the same dataset. You need to keep the costs of data sharing low and ensure that the data is current. Which solution should you choose?;1;Use Analytics Hub to control data access, and provide third party companies with access to the dataset;Use Cloud Scheduler to export the data on a regular basis to Cloud Storage, and provide third-party companies with access to the bucket;Create a separate dataset in BigQuery that contains the relevant data to share, and provide third-party companies with access to the new dataset;Create a Dataflow job that reads the data in frequent time intervals, and writes it to the relevant BigQuery dataset or Cloud Storage bucket for third-party companies to use;;;Use Analytics Hub to control data access, and provide third party companies with access to the dataset;Google Cloud's Analytics Hub is designed to facilitate data sharing and collaboration. With Analytics Hub, you can manage, curate, and share data assets across your organization and with external organizations. It allows secure access to shared data assets directly within BigQuery, ensuring real-time data availability.
